Current Procedural Terminology (CPT®) codes, descriptions, and other data are
copyright 1966, 1970, 1973, 1977, 1981, 1983-2024 by the American
Medical Association. All rights reserved.

CPT® is a registered trademark of the American Medical Association.

U.S. GOVERNMENT RIGHTS. CPT is commercial technical data
developed exclusively at the private expense by the American
Medical Association, 330 N. Wabash Ave., Suite 39300,
Chicago, IL 60611-5885. Use does not grant the Federal Government
a direct license to use CPT based on FAR 52.227-14 (Data Rights – General)
and DFARS 252.227-7015 (Technical Data Commercial Items).

This file may not be sold, duplicated, or given
away in whole or in part without the express written
consent of the American Medical Association.

To license additional CPT® products or to request a license
for the distribution of products with CPT® content, visit our website at
https://www.ama-assn.org/practice-management/cpt/ama-cpt-licensing-overview,
or purchase other CPT® products, contact customer service at 800-621-8335.

For the most current CPT® coding information, to learn about the early release
of CPT® codes, and to review the CPT® Errata to bring yourself up to date on corrections,
please visit https://www.ama-assn.org/practice-management/errata-technical-corrections.

Concept Id	CPT Code	Long	Medium	Short	Consumer	Spanish Consumer	Current Descriptor Effective Date	Test Name	Lab Name	Manufacturer Name
1008164	50580	Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with removal of foreign body or calculus	RNL NDSC NFROT/PLOT W/RMVL FB/CALCULUS	KIDNEY ENDOSCOPY & TREATMENT	Removal of foreign body or stone in kidney using an endoscope	Remoción de un cuerpo extraño o un cálculo en el riñón usando un endoscopio				
1008166	50590	Lithotripsy, extracorporeal shock wave	LITHOTRIPSY XTRCORP SHOCK WAVE	FRAGMENTING OF KIDNEY STONE	Shock wave crushing of kidney stones	Destrucción de cálculos renales con ondas de choque				
1008167	50592	Ablation, 1 or more renal tumor(s), percutaneous, unilateral, radiofrequency	ABLTJ 1/> RENAL TUMOR PRQ UNI RADIOFREQUENCY	PERC RF ABLATE RENAL TUMOR	Destruction of growth of kidney using radiofrequency	Destrucción de un crecimiento tumoral en un riñón mediante radiofrecuencia				
1018405	50593	Ablation, renal tumor(s), unilateral, percutaneous, cryotherapy	ABLATION RENAL TUMOR UNILATERAL PERQ CRYOTHERAPY	PERC CRYO ABLATE RENAL TUM	Destruction of growth of kidney by freezing	Destrucción de un crecimiento tumoral en un riñón por congelación				
1008170	50600	Ureterotomy with exploration or drainage (separate procedure)	URTROTOMY W/EXPL/DRG SEPARATE PROCEDURE	EXPLORATION OF URETER	Exploration of ureter	Exploración del uréter				
1008171	50605	Ureterotomy for insertion of indwelling stent, all types	URETEROTOMY INSERTION INDWELLING STENT ALL TYPES	INSERT URETERAL SUPPORT	Insertion of stent in ureter	Inserción de una endoprótesis en uréter				
1027713	50606	Endoluminal biopsy of ureter and/or renal pelvis, non-endoscopic, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)	ENDOLUMINAL BX URTR &/RNL PELVIS NONENDOSCOPIC	ENDOLUMINAL BX URTR RNL PLVS	Biopsy of ureter and/or renal pelvis using imaging guidance with review by radiologist	Biopsia de uréter y/o de la pelvis renal utilizando orientación por imagenología con revisión por un radiólogo				
1008173	50610	Ureterolithotomy; upper one-third of ureter	URTROLITHOTOMY UPPER ONE-THIRD URETER	REMOVAL OF URETER STONE	Removal of stone from upper ureter	Remoción de un cálculo en la parte superior de un uréter				
1008174	50620	Ureterolithotomy; middle one-third of ureter	URTROLITHOTOMY MIDDLE ONE-THIRD URETER	REMOVAL OF URETER STONE	Removal of stone from middle ureter	Remoción de un cálculo en uréter medio				
1008175	50630	Ureterolithotomy; lower one-third of ureter	URTROLITHOTOMY LOWER ONE-THIRD URETER	REMOVAL OF URETER STONE	Removal of stone from lower ureter	Remoción de un cálculo en la parte inferior de un uréter				
1008177	50650	Ureterectomy, with bladder cuff (separate procedure)	URETRECECTOMY W/BLADDER CUFF SEPARATE PROCEDURE	REMOVAL OF URETER	Removal of ureter and partial removal of bladder	Remoción de uréter y remoción parcial de la vejiga				
1008178	50660	Ureterectomy, total, ectopic ureter, combination abdominal, vaginal and/or perineal approach	URETERECTOMY TOT ECTOPIC URETER CMBN APPR	REMOVAL OF URETER	Removal of an extra ureter	Remoción de uréter adicional				
1008180	50684	Injection procedure for ureterography or ureteropyelography through ureterostomy or indwelling ureteral catheter	INJ PX URETEROGRAPHY/URETEROPYLOGRAPHY CATH	INJECTION FOR URETER X-RAY	Injection of ureter for imaging	Inyección en uréter para adquirir imágenes				
1008181	50686	Manometric studies through ureterostomy or indwelling ureteral catheter	MANOMETRIC STDS THRU URTROST/NDWELLG URTRL CATH	MEASURE URETER PRESSURE	Measurement of urine flow in ureter	Medición del flujo de orina en uréter				
1008182	50688	Change of ureterostomy tube or externally accessible ureteral stent via ileal conduit	CHNG URTROST TUBE/XTRNLLY ACCESSIBLE STENT ILEAL	CHANGE OF URETER TUBE/STENT	Change of tube or stent in ureter	Cambio de tubo o una endoprótesis en uréter				
1008183	50690	Injection procedure for visualization of ileal conduit and/or ureteropyelography, exclusive of radiologic service	NJX VISUALIZATION ILEAL CONDUIT&/URETEROPYELOG	INJECTION FOR URETER X-RAY	Injection of bladder and ureter for imaging	Inyección en la vejiga y uréter para adquirir imágenes				
1027714	50693	Placement of ureteral stent, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy), and all associated radiological supervision and interpretation; pre-existing nephrostomy tract	PLMT URTRL STENT PRQ PRE-EXISTING NFROS TRACT	PLMT URETERAL STENT PRQ	Placement of stent of ureter through existing skin access using imaging guidance with review by radiologist	Colocación de endoprótesis en uréter a través de un acceso cutáneo ya existente utilizando orientación por imagenología con revisión por un radiólogo				
1027715	50694	Placement of ureteral stent, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy), and all associated radiological supervision and interpretation; new access, without separate nephrostomy catheter	PLMT URTRL STNT PRQ NEW ACESS W/O SEP NFROS CATH	PLMT URETERAL STENT PRQ	Placement of stent of ureter through new skin access using imaging guidance with review by radiologist	Colocación de endoprótesis en uréter a través de un nuevo acceso cutáneo utilizando orientación por imagenología con revisión por un radiólogo				
1027716	50695	Placement of ureteral stent, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance (eg, ultrasound and/or fluoroscopy), and all associated radiological supervision and interpretation; new access, with separate nephrostomy catheter	PLMT URTRL STENT PRQ NEW ACCESS W/SEP NFROS CATH	PLMT URETERAL STENT PRQ	Placement of stent of ureter and separate tube in kidney through new skin access using imaging guidance with review by radiologist	Colocación de endoprótesis en uréter y un tubo separado en el riñón a través de un nuevo acceso cutáneo utilizando orientación por imagenología con revisión por un radiólogo				
1008185	50700	Ureteroplasty, plastic operation on ureter (eg, stricture)	URETEROPLASTY PLASTIC OPERATION URETER	REVISION OF URETER	Reconstruction of ureter	Reconstrucción del uréter				
1027717	50705	Ureteral embolization or occlusion, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)	URETERAL EMBOLIZATION/OCCLUSION W/IMG GID RS&I	URETERAL EMBOLIZATION/OCCL	Blocking of ureter using imaging guidance with review by radiologist	Bloqueo del uréter utilizando orientación por imagenología con revisión por un radiólogo				
1027718	50706	Balloon dilation, ureteral stricture, including imaging guidance (eg, ultrasound and/or fluoroscopy) and all associated radiological supervision and interpretation (List separately in addition to code for primary procedure)	BALLOON DILAT URETERAL STRICTURE W/IMG GID RS&I	BALLOON DILATE URTRL STRIX	Balloon dilation treatment of stricture of ureter using imaging guidance with review by radiologist	Tratamiento de dilatación con balón de estenosis del uréter utilizando orientación por imagenología con revisión por un radiólogo				
1008186	50715	Ureterolysis, with or without repositioning of ureter for retroperitoneal fibrosis	URETEROLYSIS W/WORPSG URETER RETROPERIT FIBROSIS	RELEASE OF URETER	Release of scar tissue at ureter	Liberación de tejido cicatricial en el uréter				
1008187	50722	Ureterolysis for ovarian vein syndrome	URETEROLYSIS FOR OVARIAN VEIN SYNDROME	RELEASE OF URETER	Release of abnormal veins blocking ureter	Liberación de venas anormales que bloquean el uréter				
1008188	50725	Ureterolysis for retrocaval ureter, with reanastomosis of upper urinary tract or vena cava	URTROLSS RETROCAVAL URTR W/REANAST	RELEASE/REVISE URETER	Repair and repositioning of abnormally positioned ureter	Reparación y reposicionamiento del uréter anormalmente posicionado				
1008189	50727	Revision of urinary-cutaneous anastomosis (any type urostomy);	REVJ URINARY-CUTANEOUS ANASTAMOSIS	REVISE URETER	Revision of opening from urinary tract to skin	Revisión de la apertura del tracto urinario a la piel				
1008190	50728	Revision of urinary-cutaneous anastomosis (any type urostomy); with repair of fascial defect and hernia	REVJ UR-CUTAN ANAST RPR FSCAL DFCT & HERNIA	REVISE URETER	Revision of opening from urinary tract to skin with repair of hernia	Revisión del orificio de las vías urinarias a la piel con reparación de hernia				
1008191	50740	Ureteropyelostomy, anastomosis of ureter and renal pelvis	URETEROPYELOSTOMY ANAST URETER RENAL PELVIS	FUSION OF URETER & KIDNEY	Connection of ureter to renal pelvis	Conexión del uréter a la pelvis renal				
1008192	50750	Ureterocalycostomy, anastomosis of ureter to renal calyx	URETEROCALYCOSTOMY ANAST URETER RENAL CALYX	FUSION OF URETER & KIDNEY	Connection of ureter to renal calyx	Conexión del uréter al cáliz renal				
1008193	50760	Ureteroureterostomy	URETEROURETEROSTOMY	URETEROURETEROSTOMY	Removal and reconnection of diseased or injured portion of ureter	Remoción y reconexión de parte enferma o lesionada del uréter				
1008194	50770	Transureteroureterostomy, anastomosis of ureter to contralateral ureter	TRANSURETEROURETEROSTOMY ANAST URETER CLAT URTR	SPLICING OF URETERS	Partial removal of ureter with connection to opposite ureter	Remoción parcial del uréter con conexión al uréter opuesto				
1008196	50780	Ureteroneocystostomy; anastomosis of single ureter to bladder	URETERONEOCYSTOSTOMY ANAST 1 URETER BLADDER	REIMPLANT URETER IN BLADDER	Connection of ureter to bladder	Conexión del uréter a la vejiga				
1008197	50782	Ureteroneocystostomy; anastomosis of duplicated ureter to bladder	URETERONEOCYSTOSTOMY ANAST DUPLICATE URETER BLDR	REIMPLANT URETER IN BLADDER	Connection of extra ureter to bladder	Conexión de uréter adicional a la vejiga				
1008198	50783	Ureteroneocystostomy; with extensive ureteral tailoring	URETERONEOCYSTOSTOMY W/URETERAL TAILORING	REIMPLANT URETER IN BLADDER	Repositioning of ureter to bladder	Reposicionamiento del uréter a la vejiga				
1008199	50785	Ureteroneocystostomy; with vesico-psoas hitch or bladder flap	URTRONEOCSTOST W/VESICO-PSOAS HITCH/BLDR FLAP	REIMPLANT URETER IN BLADDER	Repositioning of ureter with creation of bladder or muscle flap	Reposicionamiento del uréter con creación de colgajo muscular o de vejiga				
1008200	50800	Ureteroenterostomy, direct anastomosis of ureter to intestine	URETEROENTEROSTOMY ANAST URETER INTESTINE	IMPLANT URETER IN BOWEL	Connection of ureter to bowel	Conexión del uréter al intestino				
1008201	50810	Ureterosigmoidostomy, with creation of sigmoid bladder and establishment of abdominal or perineal colostomy, including intestine anastomosis	URETEROSIGMOIDOSTOMY W/SIGMOID BLADDER & COLOSTO	FUSION OF URETER & BOWEL	Connection of ureter to large bowel with creation of pouch in bowel and opening from pouch to skin	Conexión del uréter al intestino grueso con creación de bolsa en el intestino y apertura de la bolsa a la piel				
1008202	50815	Ureterocolon conduit, including intestine anastomosis	URETEROCOLON CONDUIT INTESTINE ANASTOMOSIS	URINE SHUNT TO INTESTINE	Connection of ureter to large bowel	Conexión del uréter al intestino grueso				
1008203	50820	Ureteroileal conduit (ileal bladder), including intestine anastomosis (Bricker operation)	URETEROILEAL CONDUIT W/INTESTINE ANASTOMOSIS	CONSTRUCT BOWEL BLADDER	Connection of ureter to small bowel with creation of opening from ureter to skin	Conexión del uréter al intestino delgado con creación de una apertura del uréter a la piel				
1008204	50825	Continent diversion, including intestine anastomosis using any segment of small and/or large intestine (Kock pouch or Camey enterocystoplasty)	CONTINENT DVRJ W/INT ANAST ANY SGM SM&/LG INTSTN	CONSTRUCT BOWEL BLADDER	Connection of ureter to large and/or small bowel with creation of opening to skin	Conexión del uréter al intestino grueso y/o al intestino delgado con creación de una apertura hacia la piel				
1008205	50830	Urinary undiversion (eg, taking down of ureteroileal conduit, ureterosigmoidostomy or ureteroenterostomy with ureteroureterostomy or ureteroneocystostomy)	URINARY UNIDIVERSION	REVISE URINE FLOW	Repair to restore urine flow in ureter	Reparación para restablecer el flujo de orina en el uréter				
1008206	50840	Replacement of all or part of ureter by intestine segment, including intestine anastomosis	RPLCMT ALL/PART URETER INTESTINE SGM W/ANAST	REPLACE URETER BY BOWEL	Replacement of ureter using bowel	Reemplazo de uréter utilizando el intestino				
1008207	50845	Cutaneous appendico-vesicostomy	CUTANANEOUS APPENDICO-VESICOSTOMY	APPENDICO-VESICOSTOMY	Connection of bladder to pouch at junction of small and large bowel with creation of opening to skin	Conexión de la vejiga a la bolsa en la unión del intestino delgado y grueso con creación de una apertura a la piel				
1008208	50860	Ureterostomy, transplantation of ureter to skin	URETEROSTOMY TRANSPLANTATION URETER SKIN	TRANSPLANT URETER TO SKIN	Connection of ureter to skin	Conexión del uréter a la piel				
1008209	50900	Ureterorrhaphy, suture of ureter (separate procedure)	URETERORRHAPHY SUTURE URETER SEPARATE PROCEDURE	REPAIR OF URETER	Suture repair of ureter	Reparación del uréter mediante sutura				
1008210	50920	Closure of ureterocutaneous fistula	CLOSURE URETEROCUTANEOUS FISTULA	CLOSURE URETER/SKIN FISTULA	Closure of abnormal drainage tract from ureter to skin	Cierre del tracto de drenaje anormal del uréter a la piel				
1008211	50930	Closure of ureterovisceral fistula (including visceral repair)	CLOSURE URETEROCUTANEOUS FISTULA W/VISC RPR	CLOSURE URETER/BOWEL FISTULA	Closure of abnormal drainage tract from ureter to an abdominal organ	Cierre del tracto de drenaje anormal desde el uréter a un órgano abdominal				
1008212	50940	Deligation of ureter	DELIGATION URETER	RELEASE OF URETER	Removal of previously placed suture or wire in ureter	Remoción de sutura o alambre previamente colocado en uréter				
1008215	50945	Laparoscopy, surgical; ureterolithotomy	LAPAROSCOPY URTROLITHOTOMY	LAPAROSCOPY URETEROLITHOTOMY	Removal of stone from ureter using an endoscope	Remoción de un cálculo del uréter usando un endoscopio				
1008216	50947	Laparoscopy, surgical; ureteroneocystostomy with cystoscopy and ureteral stent placement	LAPS URTRONEOCSTOST W/CSTSC&URTRL STENT PLMT	LAPARO NEW URETER/BLADDER	Repositioning of ureter and insertion of stent using an endoscope	Reposicionamiento del uréter e inserción de una endoprótesis usando un endoscopio				
1008217	50948	Laparoscopy, surgical; ureteroneocystostomy without cystoscopy and ureteral stent placement	LAPS URTRONEOCSTOST W/O CSTSC&URTRL STENT PLMT	LAPARO NEW URETER/BLADDER	Repositioning of ureter using an endoscope	Reposicionamiento del uréter usando un endoscopio				
